,increment_sum_abs,funccount,funccount_cum,funccount_cum_neg,percent,percent_cum,percent_cum_neg
167,3024,1,96699,513,0.0010286795868822778,99.47228737192916,0.5277126280708444
168,3040,1,96700,512,0.0010286795868822778,99.47331605151604,0.5266839484839636
169,3056,1,96701,511,0.0010286795868822778,99.47434473110292,0.5256552688970828
170,3072,1,96702,510,0.0010286795868822778,99.4753734106898,0.524626589310202
171,3088,10,96712,500,0.010286795868822779,99.48566020655862,0.5143397934413798
172,3104,2,96714,498,0.0020573591737645556,99.48771756573238,0.5122824342676182
173,3120,3,96717,495,0.003086038760646834,99.49080360449302,0.5091963955069758
174,3152,1,96718,494,0.0010286795868822778,99.4918322840799,0.508167715920095
175,3168,1,96719,493,0.0010286795868822778,99.49286096366679,0.5071390363332142
176,3184,1,96720,492,0.0010286795868822778,99.49388964325367,0.5061103567463334
177,3232,2,96722,490,0.0020573591737645556,99.49594700242743,0.5040529975725718
178,3296,1,96723,489,0.0010286795868822778,99.49697568201431,0.503024317985691
179,3408,2,96725,487,0.0020573591737645556,99.49903304118807,0.5009669588119294
180,3440,1,96726,486,0.0010286795868822778,99.50006172077495,0.49993827922504863
181,3472,2,96728,484,0.0020573591737645556,99.50211907994871,0.49788092005128703
182,3488,2,96730,482,0.0020573591737645556,99.50417643912247,0.49582356087752544
183,3712,1,96731,481,0.0010286795868822778,99.50520511870936,0.49479488129064464
184,3776,2,96733,479,0.0020573591737645556,99.50726247788312,0.49273752211688304
185,3904,2,96735,477,0.0020573591737645556,99.50931983705688,0.49068016294312145
186,4016,1,96736,476,0.0010286795868822778,99.51034851664376,0.48965148335624065
187,4048,2,96738,474,0.0020573591737645556,99.51240587581752,0.48759412418247905
188,4096,21,96759,453,0.021602271324527838,99.53400814714205,0.46599185285795386
189,4112,30,96789,423,0.030860387606468337,99.56486853474851,0.43513146525148727
190,4128,38,96827,385,0.03908982430152656,99.60395835905004,0.3960416409499601
191,4144,34,96861,351,0.03497510595399745,99.63893346500404,0.3610665349959561
192,4160,17,96878,334,0.017487552976998725,99.65642101798105,0.3435789820189541
193,4176,14,96892,320,0.01440151421635189,99.67082253219739,0.3291774678026087
194,4192,10,96902,310,0.010286795868822779,99.68110932806621,0.3188906719337865
195,4208,9,96911,301,0.0092581162819405,99.69036744434815,0.3096325556518451
196,4224,10,96921,291,0.010286795868822779,99.70065424021698,0.2993457597830229
197,4240,4,96925,287,0.004114718347529111,99.7047689585645,0.2952310414354997
198,4256,4,96929,283,0.004114718347529111,99.70888367691202,0.2911163230879765
199,4272,7,96936,276,0.007200757108175945,99.7160844340202,0.2839155659797967
200,4288,1,96937,275,0.0010286795868822778,99.71711311360708,0.2828868863929159
201,4304,1,96938,274,0.0010286795868822778,99.71814179319396,0.2818582068060351
202,4320,2,96940,272,0.0020573591737645556,99.72019915236773,0.27980084763227353
203,4336,2,96942,270,0.0020573591737645556,99.72225651154149,0.27774348845851193
204,4384,2,96944,268,0.0020573591737645556,99.72431387071525,0.27568612928475034
205,4448,1,96945,267,0.0010286795868822778,99.72534255030213,0.27465744969786954
206,4480,1,96946,266,0.0010286795868822778,99.72637122988901,0.27362877011098874
207,4496,2,96948,264,0.0020573591737645556,99.72842858906277,0.27157141093722714
208,4512,2,96950,262,0.0020573591737645556,99.73048594823653,0.26951405176346555
209,4528,2,96952,260,0.0020573591737645556,99.7325433074103,0.26745669258970395
210,4544,1,96953,259,0.0010286795868822778,99.73357198699718,0.26642801300282315
211,4592,1,96954,258,0.0010286795868822778,99.73460066658406,0.26539933341594235
212,4624,1,96955,257,0.0010286795868822778,99.73562934617094,0.26437065382906155
213,4656,3,96958,254,0.003086038760646834,99.73871538493158,0.26128461506841916
214,4672,1,96959,253,0.0010286795868822778,99.73974406451846,0.26025593548153836
215,4704,2,96961,251,0.0020573591737645556,99.74180142369222,0.25819857630777676
216,4752,1,96962,250,0.0010286795868822778,99.7428301032791,0.25716989672089596
217,4848,1,96963,249,0.0010286795868822778,99.74385878286598,0.25614121713401516
218,4976,1,96964,248,0.0010286795868822778,99.74488746245287,0.25511253754713437
219,4992,1,96965,247,0.0010286795868822778,99.74591614203975,0.25408385796025357
220,5040,1,96966,246,0.0010286795868822778,99.74694482162663,0.25305517837337277
221,5056,1,96967,245,0.0010286795868822778,99.74797350121351,0.25202649878649197
222,5072,1,96968,244,0.0010286795868822778,99.74900218080039,0.25099781919961117
223,5120,1,96969,243,0.0010286795868822778,99.75003086038727,0.24996913961273037
224,5136,1,96970,242,0.0010286795868822778,99.75105953997415,0.24894046002584957
225,5152,1,96971,241,0.0010286795868822778,99.75208821956103,0.24791178043896878
226,5216,1,96972,240,0.0010286795868822778,99.75311689914791,0.24688310085208798
227,5328,1,96973,239,0.0010286795868822778,99.75414557873479,0.24585442126520718
